timestamp,mouse_distance,mouse_clicks,key_presses,active_window,window_switches,idle_time
2026-02-06T14:06:21.884072,1081.97,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:13:29.372883,1980.72,1,0,features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:13:34.373369,0,0,14,● features_engineering.py - nopretend_ai - Visual Studio Code,1,0
2026-02-06T14:13:39.373858,0,0,9,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:13:44.374300,0,0,23,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:13:49.374601,0,0,11,● features_engineering.py - nopretend_ai - Visual Studio Code,0,1
2026-02-06T14:13:54.374782,0,0,22,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:13:59.375357,0,0,11,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:14:04.375800,0,0,18,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:14:09.376373,0,0,16,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:14:14.376557,0,0,17,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:14:19.377115,0,0,12,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:14:24.377674,0,0,17,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:14:29.377923,0,0,11,● features_engineering.py - nopretend_ai - Visual Studio Code,0,2
2026-02-06T14:14:34.378334,0,0,11,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:14:39.378562,0,0,11,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:14:44.378867,0,0,13,● features_engineering.py - nopretend_ai - Visual Studio Code,0,2
2026-02-06T14:14:49.379051,0,0,13,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:14:54.379559,0,0,16,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:14:59.380354,0,0,7,● features_engineering.py - nopretend_ai - Visual Studio Code,0,1
2026-02-06T14:15:04.380638,0,0,10,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:15:09.381111,0,0,6,● features_engineering.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:38:56.546013,2270.09,1,0,Search,0,0
2026-02-06T14:39:01.546947,2662.93,1,0,,1,0
2026-02-06T14:39:06.547284,894.44,1,0,Untitled - Notepad,0,2
2026-02-06T14:39:11.547926,0,0,19,*gGU8USHY I9SD8 HG - Notepad,1,0
2026-02-06T14:39:16.548169,0,0,31,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,1,0
2026-02-06T14:39:21.548526,0,0,30,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:39:26.548728,0,0,31,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:39:31.549347,0,0,28,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:39:36.549619,0,0,28,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:39:41.550191,0,0,35,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:39:46.551113,0,0,16,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:39:51.551884,0,0,28,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:39:56.552220,0,0,10,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:40:01.552700,0,0,23,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:40:06.553044,0,0,21,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:40:11.553570,0,0,20,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:40:16.554384,0,0,20,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:40:21.555173,0,0,24,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:40:26.555522,0,0,31,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:40:31.555777,0,0,28,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:40:36.556138,0,0,20,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:40:41.556291,0,0,27,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:40:46.556668,0,0,32,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:40:51.556986,1504.21,0,23,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:40:56.557472,0,0,16,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:41:01.557925,0,0,21,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:41:06.558117,0,0,22,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:41:11.558505,0,0,25,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:41:16.559111,0,0,29,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:41:21.559833,0,0,20,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:41:26.560104,0,0,23,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:41:31.560552,0,0,33,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:41:36.560980,0,0,22,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:41:41.561406,8654.87,6,0,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:41:46.561749,17.21,1,18,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:41:51.562389,0,0,12,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:41:56.562803,0,0,13,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:42:01.563224,0,0,19,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:42:06.563582,0,0,11,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:42:11.563980,0,0,13,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:42:16.564294,0,0,16,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:42:21.564924,0,0,18,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:42:26.565318,0,0,13,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:42:31.565728,0,0,17,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:42:36.566276,0,0,19,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:43:52.979742,1741.71,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T14:43:57.980178,1984.94,2,4,,1,0
2026-02-06T14:44:02.980645,2295.45,2,2,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:44:07.981084,0,0,18,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:44:12.981527,0,0,21,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:44:17.982049,0,0,16,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:44:22.982462,0,0,14,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:44:27.982775,0,0,29,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:44:32.983159,0,0,4,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:44:37.983592,0,0,21,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:44:42.984049,0,0,23,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:44:47.984414,0,0,20,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:44:52.984988,0,0,12,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:44:57.985417,0,0,7,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,3
2026-02-06T14:45:02.985838,0,0,23,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:45:07.986352,0,0,8,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,3
2026-02-06T14:45:12.986537,0,0,16,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:45:17.987097,0,0,0,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,5
2026-02-06T14:45:22.987548,0,0,0,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,10
2026-02-06T14:45:27.987989,0,0,4,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:45:32.988326,0,0,27,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:45:37.988603,0,0,16,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:45:42.989078,0,0,8,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,1
2026-02-06T14:45:47.989511,0,0,10,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:45:52.990205,0,0,17,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:45:57.991005,0,0,17,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:46:02.991608,0,0,30,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T14:46:07.992331,3029.38,2,6,activity_collector.py - nopretend_ai - Visual Studio Code,1,0
2026-02-06T15:01:59.278309,3779.96,2,1,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T15:02:04.278859,0,0,1,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,4
2026-02-06T15:02:09.279453,0,0,0,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,9
2026-02-06T15:02:14.279845,0,0,0,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,14
2026-02-06T15:02:19.280334,0,0,3,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,3
2026-02-06T15:02:24.280948,0,0,14,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T15:02:29.281525,3530.38,2,2,nopretend ai - NoPretend AI Project - Google Chrome,1,0
2026-02-06T15:02:34.282269,676.37,3,0,nopretend_ai - File Explorer,1,0
2026-02-06T15:02:39.282704,2104.72,2,0,WhatsApp,1,0
2026-02-06T15:02:44.283312,798.08,1,10,WhatsApp,0,0
2026-02-06T15:02:49.283979,2541.21,1,0,activity_collector.py - nopretend_ai - Visual Studio Code,1,2
2026-02-06T15:04:59.550730,4806.08,5,0,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T15:05:04.550937,3489.01,3,0,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T15:05:09.551706,1209.54,7,0,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T15:05:14.552141,3062.35,3,0,nopretend ai - NoPretend AI Project - Google Chrome,1,0
2026-02-06T15:05:19.552438,3484.02,7,0,Python Release Python 3.10.13 | Python.org - Google Chrome,1,0
2026-02-06T15:05:24.553197,936.84,4,0,psutil - Google Search - Google Chrome,1,0
2026-02-06T15:05:29.553641,2815.61,5,0,Manage access - Google Chrome,1,0
2026-02-06T15:05:34.554004,2798.22,5,0,Changelog — Python 3.10.13 documentation - Google Chrome,1,0
2026-02-06T15:05:39.554607,3335.16,4,0,Changelog — Python 3.10.13 documentation - Google Chrome,0,0
2026-02-06T15:05:44.554979,146.97,0,0,Changelog — Python 3.10.13 documentation - Google Chrome,0,0
2026-02-06T15:05:49.555256,0,0,0,Changelog — Python 3.10.13 documentation - Google Chrome,0,5
2026-02-06T15:05:54.555848,0,0,0,Changelog — Python 3.10.13 documentation - Google Chrome,0,10
2026-02-06T15:05:59.556495,0,0,0,Changelog — Python 3.10.13 documentation - Google Chrome,0,15
2026-02-06T15:06:04.556674,6323.38,3,0,Changelog — Python 3.10.13 documentation - Google Chrome,0,0
2026-02-06T15:06:09.557333,2689.98,5,0,Changelog — Python 3.10.13 documentation - Google Chrome,0,0
2026-02-06T15:06:14.557643,2865.64,6,0,Changelog — Python 3.10.13 documentation - Google Chrome,0,0
2026-02-06T15:06:19.558225,2174.62,1,0,Task View,1,0
2026-02-06T15:06:24.559147,157.81,1,0,,1,0
2026-02-06T15:06:29.559704,2153.5,0,0,,0,0
2026-02-06T15:06:34.560019,3971.42,4,0,*gGU8USHY I9SD8 HGSHUYY88SDD YYYHDUY - Notepad,0,0
2026-02-06T15:06:39.560569,5846.16,2,0,WhatsApp,1,0
2026-02-06T15:06:44.561174,2443.4,3,0,WhatsApp,0,0
2026-02-06T15:06:49.561355,1659.43,2,0,WhatsApp,0,1
2026-02-06T15:06:54.561783,5600.14,1,1,WhatsApp,0,0
2026-02-06T15:06:59.562024,4405.38,4,0,activity_collector.py - nopretend_ai - Visual Studio Code,1,0
2026-02-06T15:19:03.638087,2490.57,1,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T15:19:08.638704,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,5
2026-02-06T15:19:13.638941,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,10
2026-02-06T15:19:18.639594,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,15
2026-02-06T15:19:23.640258,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,20
2026-02-06T15:19:28.640977,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,25
2026-02-06T15:19:33.641217,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,30
2026-02-06T15:19:38.641867,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,35
2026-02-06T15:19:43.642238,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,40
2026-02-06T15:19:48.642970,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,45
2026-02-06T15:19:53.643621,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,50
2026-02-06T15:19:58.644103,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,55
2026-02-06T15:20:03.644397,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,60
2026-02-06T15:20:08.644698,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,65
2026-02-06T15:20:13.645026,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,70
2026-02-06T15:20:18.645713,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,75
2026-02-06T15:20:23.646060,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,80
2026-02-06T15:20:28.646583,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,85
2026-02-06T15:20:33.647271,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,90
2026-02-06T15:20:38.647815,17.12,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,0
2026-02-06T15:20:43.648760,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,5
2026-02-06T15:20:48.649182,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,10
2026-02-06T15:20:53.649962,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,15
2026-02-06T15:20:58.650490,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,20
2026-02-06T15:21:03.650670,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,25
2026-02-06T15:21:08.651177,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,30
2026-02-06T15:21:13.651433,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,35
2026-02-06T15:21:18.652002,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,40
2026-02-06T15:21:23.652621,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,45
2026-02-06T15:21:28.653019,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,50
2026-02-06T15:21:33.653654,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,55
2026-02-06T15:21:38.654016,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,60
2026-02-06T15:21:43.654420,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,65
2026-02-06T15:21:48.654832,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,70
2026-02-06T15:21:53.655236,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,75
2026-02-06T15:21:58.655660,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,80
2026-02-06T15:22:03.656339,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,85
2026-02-06T15:22:08.656659,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,90
2026-02-06T15:22:13.657111,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,95
2026-02-06T15:22:18.657630,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,100
2026-02-06T15:22:23.658365,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,105
2026-02-06T15:22:28.658906,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,110
2026-02-06T15:22:33.659454,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,115
2026-02-06T15:22:38.660262,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,120
2026-02-06T15:22:43.660929,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,125
2026-02-06T15:22:48.661139,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,130
2026-02-06T15:22:53.661719,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,135
2026-02-06T15:22:58.662143,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,140
2026-02-06T15:23:03.662488,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,145
2026-02-06T15:23:08.662694,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,150
2026-02-06T15:23:13.663154,0,0,0,activity_collector.py - nopretend_ai - Visual Studio Code,0,155
